Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
0.3625162127107649,0.4211324063039306,False,False,False,False,False,True,False,False,False
-0.05901426718547363,-0.12280070726712872,False,True,False,False,False,False,False,False,False
1.179636835278858,2.2204069815159904,False,False,True,False,False,False,False,False,False
-0.7464332036316471,0.5898415730032514,False,False,False,False,True,False,False,False,False
-0.5518806744487678,0.39646721539536295,False,False,False,False,True,False,False,False,False
9.934500648508427,2.5396393012388137,True,False,False,False,False,False,False,False,False
-0.052529182879377564,-0.37703021503619066,False,False,False,True,False,False,False,False,False
-0.7594033722438389,-0.7202696997901923,False,False,False,False,True,False,False,False,False
3.3132295719844347,2.108698670170831,False,False,False,False,False,False,True,False,False
-0.6815823605706873,-0.7444414944911784,False,False,False,False,True,False,False,False,False
2.113488975356679,0.5549111003014542,False,False,False,False,False,False,False,True,False
-1.349546044098573,-3.185025217589683,False,False,True,False,False,False,False,False,False
3.5142671854734098,1.9965939045820578,False,False,False,False,False,False,False,True,False
-0.6815823605706873,-0.8459630322353202,False,False,False,False,True,False,False,False,False
0.7905317769130995,1.0026490230656928,False,False,False,False,False,True,False,False,False
0.7840466926070034,0.5452450489703107,False,True,False,False,False,False,False,False,False
-0.675745784695201,0.16876890931207464,False,False,False,True,False,False,False,False,False
2.4312581063553815,0.884940757680576,False,False,False,False,False,False,False,True,False
-0.5453955901426719,0.03872465382076911,False,False,False,True,False,False,False,False,False
0.7256809338521397,1.5775125542157027,False,False,True,False,False,False,False,False,False
-0.09143968871595351,-0.051933239736078704,False,False,False,False,False,False,False,False,True
0.8359273670557715,0.9527314457315068,False,False,False,False,False,True,False,False,False
1.6335927367055765,0.05701012305719338,False,True,False,False,False,False,False,False,False
-0.5713359273670557,-0.6215993614345748,False,False,False,False,False,True,False,False,False
-0.24708171206225688,-0.7347978711398045,False,False,False,False,False,True,False,False,False
0.6089494163424123,-0.4737173938401349,False,False,False,False,True,False,False,False,False
12.269130998702979,4.007298319871348,False,False,False,False,False,False,False,False,True
-0.1692607003891052,-1.3527064643723055,False,False,False,False,False,False,False,False,True
-0.4027237354085602,-0.6670917514480232,False,False,False,True,False,False,False,False,False
-0.42866407263294426,0.009718500179586125,False,False,False,False,True,False,False,False,False
-0.24708171206225688,-0.8901604089212399,False,False,False,False,False,True,False,False,False
0.4798962386511022,-1.2414135935434516,False,False,False,True,False,False,False,False,False
-0.47405966277561606,-0.3459197767982964,False,False,True,False,False,False,False,False,False
-0.49351491569390404,-0.18849021636849922,False,False,False,True,False,False,False,False,False
0.37548638132295703,0.30480678164753877,False,False,False,False,False,True,False,False,False
1.0823605706874184,1.1071179796043522,False,False,False,True,False,False,False,False,False
0.20038910505836546,-0.7976194428333481,False,False,False,True,False,False,False,False,False
-0.052529182879377564,-0.37703021503619066,False,False,False,True,False,False,False,False,False
-0.26718547341115434,-0.8222746734283535,False,False,False,True,False,False,False,False,False
0.3190661478599217,0.04742649991312442,False,False,False,True,False,False,False,False,False
-0.5583657587548638,0.6865287518071955,False,False,False,False,True,False,False,False,False
-0.29896238651102475,-0.7541102123715729,False,False,False,True,False,False,False,False,False
-0.765888456549935,-2.7216943010318375,False,False,False,True,False,False,False,False,False
1.750324254215304,0.2291999562942913,False,False,True,False,False,False,False,False,False
0.37548638132295703,0.01455285911978306,False,False,False,True,False,False,False,False,False
-0.49351491569390404,0.17383912098979237,False,False,False,False,False,True,False,False,False
-0.5972762645914396,-0.03862508922238598,False,False,False,True,False,False,False,False,False
0.7710765239948117,0.06289644852175516,False,False,False,True,False,False,False,False,False
-0.31193255512321666,-0.1248190188611804,False,False,False,False,False,True,False,False,False
0.01232166018158221,-0.6323568405240003,False,False,False,False,False,False,True,False,False
0.621919584954604,0.4146100970151277,False,False,False,False,False,True,False,False,False
-0.24708171206225688,-0.5704045726440791,False,False,False,True,False,False,False,False,False
0.057717250324254,-0.5672169958252168,False,False,False,False,False,False,False,False,True
