Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
-0.8749999999999999,-0.22091310751104606,-0.6298278431457838,False,False,False,False,False,False,True
0.0,0.6391752577319584,0.7213444415449807,False,False,False,False,True,False,False
-0.9999999999999999,-0.45655375552282806,-0.8840811715786283,False,False,False,False,False,False,True
-0.9999999999999999,0.16789396170839435,0.9931671920727787,False,False,False,True,False,False,False
-0.3749999999999998,-0.18556701030927866,-0.005176837076436213,False,False,False,True,False,False,False
0.1250000000000001,-0.18556701030927866,0.005176837076435625,False,False,True,False,False,False,False
0.37500000000000006,0.09131075110456537,0.35472678825906684,False,False,False,True,False,False,False
-0.3749999999999998,-0.13843888070692242,0.052208003155701094,False,False,False,True,False,False,False
0.050000000000000044,-0.12665684830633317,-0.2182307821754403,False,False,False,True,False,False,False
2.5,1.4050073637702498,2.041424719632971,False,False,False,False,False,False,True
-0.12499999999999983,6.353460972017672,0.1868219913407558,True,False,False,False,False,False,False
-0.12499999999999983,-0.24447717231222418,-0.0863506083420179,False,False,False,True,False,False,False
-0.43749999999999983,-0.020618556701031427,0.5682340150031674,False,False,True,False,False,False,False
-0.4999999999999999,0.6391752577319584,1.4110697136953745,False,False,False,True,False,False,False
-0.6249999999999998,0.40353460972017635,0.8205011090928138,False,False,False,True,False,False,False
-0.4999999999999999,0.33873343151693625,0.28833493925248205,False,True,False,False,False,False,False
0.8750000000000002,-0.5567010309278354,-0.711642737245144,False,False,True,False,False,False,False
0.0,0.3858615611192929,0.41439248569313375,False,False,False,False,True,False,False
-0.8749999999999999,0.3446244477172309,0.6794793353013034,False,False,False,True,False,False,False
-0.4999999999999999,-0.1502209131075113,-1.6187351262383123,False,False,False,False,True,False,False
1.875,0.6391752577319584,1.3016134198933338,False,False,False,False,True,False,False
0.37500000000000006,-0.8041237113402064,-0.4737356751198519,False,False,True,False,False,False,False
-0.24999999999999994,0.6097201767304856,0.44055103682174673,False,False,True,False,False,False,False
-0.9999999999999999,0.12076583210603811,-0.35081843334921986,False,False,False,False,False,False,True
0.1250000000000001,-0.3269513991163478,-0.16655641124225193,False,True,False,False,False,False,False
0.37500000000000006,-0.8924889543446247,-1.702935068680613,False,False,True,False,False,False,False
-0.9999999999999999,0.20913107511045637,1.6123405140339169,False,False,False,False,True,False,False
0.1250000000000001,1.2812960235640642,-0.23076532979262276,False,False,True,False,False,False,False
-0.3749999999999998,0.04418262150220871,0.3285656752806621,False,False,False,True,False,False,False
-0.7499999999999998,-0.7628865979381446,-1.124444758982582,False,False,False,True,False,False,False
0.37500000000000006,-0.20324005891016214,0.5307928523171247,False,False,True,False,False,False,False
0.0,-0.07952871870397693,-0.14065464028185096,False,False,False,True,False,False,False
-0.6249999999999998,0.6509572901325477,0.6638286317825421,False,False,False,False,False,False,True
0.1250000000000001,1.287187039764359,-1.010484689953358,False,False,True,False,False,False,False
-0.8749999999999999,-0.00883652430044216,-0.7157926354102115,False,False,False,False,False,False,True
2.3749999999999996,-0.1737849779086894,-1.1433443088665214,False,False,True,False,False,False,False
2.625,3.172312223858615,1.8033801545852042,False,False,False,False,False,True,False
0.1250000000000001,-0.7746686303387337,-1.2843854950009004,False,False,True,False,False,False,False
-0.12499999999999983,0.18556701030927783,0.08480141916467085,False,False,False,True,False,False,False
0.2500000000000002,0.22091310751104523,0.3929463524747378,False,False,True,False,False,False,False
-0.9999999999999999,0.16789396170839435,0.36031150574213644,False,False,False,True,False,False,False
0.37500000000000006,-0.4447717231222388,-0.3902571668234292,False,True,False,False,False,False,False
-0.12499999999999983,0.8159057437407948,0.41749172225749437,False,True,False,False,False,False,False
-0.12499999999999983,-0.3622974963181152,-0.41202187568656173,False,True,False,False,False,False,False
-0.4999999999999999,-0.521354933726068,0.24517009855330366,False,False,False,True,False,False,False
0.0,-0.3622974963181152,-0.3817501921999085,False,False,True,False,False,False,False
-0.3749999999999998,0.03240058910161986,0.6138157107462587,False,False,False,False,True,False,False
1.6250000000000002,2.359351988217967,1.2660653876391228,False,False,False,False,False,True,False
-0.4999999999999999,0.5390279823269508,0.622545370604037,False,False,True,False,False,False,False
-0.4999999999999999,0.36229749631811436,0.1670513505007267,False,False,False,True,False,False,False
0.0,-0.15611192930780593,-0.06476910020383551,False,False,False,True,False,False,False
0.5000000000000001,-0.3799705449189989,0.8700470854659001,False,False,True,False,False,False,False
