Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,LnEquilibrium_Pressure_25C,HtoM
A2B,Th2Al,0.8,130.0,500.0,0.001,110.71113411383678,-39.127349187648704,1.3095709021377366
A2B,Ti2Cu,2.2,130.0,500.0,0.12,150.51510167451383,-34.33985744486666,1.18484976358187
A2B,Zr2Cu,1.3,144.0,600.0,0.003,116.6219783432098,-44.064154684891946,1.071442643251154
A2B,Zr2Ni,1.3,183.0,604.0,0.003,160.33208440571488,-54.53984259151432,1.0503068327409768
A2B,Mg2Ni,3.6,64.5,299.0,3.2,122.40329577151846,-11.297686785323176,1.3251259632483698
A2B,Mg2Co0.25Ni0.75,3.1,64.5,279.0,1.0,116.81608258625374,-11.969698613009502,1.1358269759536368
A2B,Mg2Fe0.25Ni0.75,3.3,65.2,300.0,1.9,119.09378137973276,-11.978131541799696,1.202894219563041
A2B,Mg2Cr0.25Ni0.75,3.2,61.0,250.0,0.9,115.72537308383632,-10.688949950521277,1.1547189973326335
A2B,Mg2Cu0.25Ni0.75,3.2,59.0,250.0,1.2,114.29421225881924,-10.054264945778892,1.1862843806025627
A2B,Mg2Ti0.25Ni0.75,3.2,59.0,250.0,1.3,114.95970005720751,-9.974222238105355,1.1434343434343437
AB,ThCo,1.4,46.8,40.0,0.05,124.5421513330249,-3.900071890617428,2.049324254845616
AB,ThNi,1.2,45.3,40.0,0.01,106.37099190480488,-5.480524558914876,1.7515631627144783
AB,Ti0.46Mn0.05V0.05Fe0.45,1.7,28.6,22.0,2.0,102.66281728580611,0.810418378328218,0.8908435019266714
AB,Zr0.04Ti0.96Nb0.04Fe0.95,1.7,31.8,30.0,1.4,107.696048741153,0.1248864880154619,0.9170692230144246
AB,Ti0.9Fe0.9B0.2,1.5,7.6,27.0,14.0,47.26221524537158,2.618628094771769,0.7214089315929417
AB,La0.1Ti0.9Co1,1.5,60.0,150.0,3.2,151.46431095449014,-5.98697656928881,0.8755139744984288
AB,Zr0.1Ti0.9Fe1,1.0,28.9,30.0,3.3,105.25880496078123,1.001632275557145,0.5413645382395382
AB,TiCo,1.3,57.8,150.0,2.2,143.14994806628025,-6.099498681496754,0.6977626480556762
AB,Ti1Fe0.5Co0.5,1.1,42.3,100.0,4.0,124.88511065111987,-2.0434760191459582,0.580701743233104
AB,Ti1Mn0.5Co0.5,1.6,46.9,120.0,3.2,128.9635115278683,-3.4086260869738685,0.8452914892244161
AB,TiCu,1.6,126.0,500.0,0.15,147.19671233730688,-33.12534177328579,0.8986078848883727
AB,TiFe,1.9,28.1,30.0,5.2,106.40059606234054,1.4616913445867017,0.9963755804734398
AB,Ti1Fe0.6Ni0.4,1.5,48.6,50.0,0.035,122.5221069738912,-4.869174591390732,0.7920244138264443
AB,Ti1Mn0.2Fe0.7,2.0,34.7,40.0,1.4,113.6069998806453,-0.3340530777399251,1.0437031034218198
AB,Ti1Be0.2Fe0.8,1.4,30.5,21.0,0.7,100.7231420594093,-0.1893588032592206,0.6644793526031102
AB,Ti1V0.05Fe0.8Ni0.15,1.3,41.0,150.0,7.0,113.07096133583066,-2.9400102266592545,0.6787760253333013
AB,Ti1Fe0.8Ni0.2,1.0,41.9,50.0,0.28,119.07750904339922,-2.580631374708493,0.5224951899951901
AB,Ti1Mn0.05Fe0.95,1.6,29.3,50.0,9.0,108.93804200203068,1.2827948642660227,0.8361292767615177
AB,Ti1Al0.1Fe0.9,1.3,30.0,25.0,1.2,102.13634345272838,0.1823215567939553,0.6587289024078898
AB,Ti1Fe0.9Co0.1,1.5,30.6,50.0,5.0,108.07398979419207,0.6544362325723925,0.7857506911711385
AB,Ti1Cr0.1Fe0.9,1.1,30.5,150.0,20.0,96.98545361899276,-0.6389158108190417,0.5700594485772066
AB,Ti1Mn0.1Fe0.9,1.9,29.5,25.0,2.6,106.88775890335351,0.9555114450274368,0.9955042562153134
AB,Ti1Fe0.9Ni0.1,1.4,35.6,50.0,1.8,115.05250958057572,-0.5232610410807836,0.7324546427766507
AB,ErAg,0.3,35.2,790.0,0.01,-5.178960397200568,-14.822947083157208,0.4106474184458136
AB,HfCo,1.3,59.0,50.0,0.001,125.14557454822528,-8.749098387212227,1.5511679286076134
AB,HfNi,1.3,50.0,50.0,0.02,122.20172573034142,-5.472483266640087,1.5496012648558242
AB,Li0.94Pd1,0.9,69.2,300.0,0.02,88.21110067183629,-17.30624066824515,0.5245318135680627
AB,UCo,0.6,55.0,150.0,0.08,108.97823979275478,-9.080012075144866,0.8891506928475617
AB,Hf0.5Zr0.5Co1,1.1,76.2,200.0,0.2,147.66717064845412,-12.97892927886059,1.069147600289695
AB,Hf0.3Zr0.7Co1,1.4,80.3,200.0,0.03,140.55954157208177,-15.487793549866536,1.241949761945008
AB,ZrCo,1.7,76.3,200.0,0.005,117.20858980146023,-16.68272932531892,1.2881042781855028
AB,Zr1Co0.84Ni0.16,1.6,83.0,250.0,0.01,120.36618850011102,-19.0057918760482,1.210791939282488
AB,ZrNi,2.0,64.0,300.0,1.0,111.66361336473874,-12.387715757518617,1.517628360868157
AB2,CaNi2,2.1,85.0,25.0,0.05,260.1844025040857,-2.995732273553992,1.1169617523550108
AB2,DyFe2,1.5,58.0,80.0,0.0001,87.65992597511006,-12.854340076532177,1.3807811618725323
AB2,Ce0.5Th1.5Al1,0.4,133.0,650.0,0.0003,76.62973058967334,-44.43678010281463,0.5911166207156671
AB2,Zr0.5Ti0.5Mn1.2Fe0.3,1.9,39.0,120.0,1.5,102.5698804697131,-3.396225701580591,1.1699547052732069
AB2,Zr0.5Ti0.5Mn2,1.8,40.0,70.0,1.5,119.93820031408868,-1.7106308735655071,1.0875617665599846
AB2,Zr0.4Ti0.6Mn1.4Cr0.4Cu0.2,1.8,48.0,20.0,0.3,153.72867899722445,-0.8737035059638623,1.064583351517797
AB2,Zr0.4Ti0.6Mn1.9Cu0.1,1.7,40.6,20.0,0.5,132.73271482119557,-0.4137943990286888,1.006224081037694
AB2,Zr0.3Ti0.7Mn1.9Mo0.1,1.7,41.0,17.0,0.9,140.43023684071255,0.3506744360807625,0.9999544348837648
AB2,Zr0.2Ti0.8Cr1.8,,23.0,0.0,3.0,93.3368562112798,1.947819161700853,
AB2,Zr0.2Ti0.8Mn1Cr1,,30.0,0.0,2.0,115.5926997355848,1.8008083192983042,
AB2,Zr0.2Ti0.8Mn0.8Cr1Fe0.2,1.8,28.0,20.0,12.0,116.17415084220004,2.677563740499213,0.9919863252836776
AB2,Zr0.2Ti0.8Mn1.2Cr0.8,2.0,28.9,20.0,5.0,111.9654651913867,1.8082875524896007,1.1072031503077422
AB2,Zr0.2Ti0.8Mn1.2V0.2Cr0.6,1.9,30.5,20.0,2.2,110.59765902303924,0.9983159770318396,1.0494198859009003
AB2,Zr0.2Ti0.8Mn1.4V0.2Cr0.4,1.9,29.0,20.0,9.0,117.19353927380445,2.396762278429975,1.0531883757665488
AB2,Zr0.2Ti0.8Mn1.5Cr0.5,2.0,27.5,30.0,10.0,109.85822647786034,2.1196099959293253,1.113159469144801
AB2,Zr0.2Ti0.8Mn1.5Cu0.5,1.6,27.0,30.0,3.0,98.198856643679,0.91896401155002,0.917959669527251
AB2,Zr0.2Ti0.8Mn1.5Fe0.5,1.7,25.4,30.0,11.0,103.72338673624576,2.2288928195095017,0.9543036674726972
AB2,Zr0.2Ti0.8Mn1.5V0.5,2.0,45.6,30.0,0.5,144.65764799979453,-0.9965531596927206,1.109600863162726
AB2,Zr0.2Ti0.8Mn1.6V0.2Cr0.2,1.9,30.5,20.0,2.0,109.80523503382749,0.9030057972275136,1.0569568656321968
AB2,Zr0.2Ti0.8Mn1.7V0.2Mo0.1,2.0,35.0,14.0,1.0,121.8875152359394,0.5408773180932493,1.145363463043948
AB2,Zr0.2Ti0.8Mn1.8Mo0.2,1.7,29.0,20.0,4.0,110.45133651827751,1.585832062213646,0.9986076047436044
AB2,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1,1.3,46.5,25.0,0.01,117.6736470642801,-4.60517018598809,0.7518152571414152
AB2,Zr0.05Ti0.95Mn0.8Cr1.2,1.7,21.9,20.0,5.5,88.87932871667212,1.8554334596161208,0.8943273419291986
AB2,Ti1V1.4Ni0.6,2.9,28.8,60.0,0.4,78.82935931535464,-2.136874457590316,1.5249214863311156
AB2,Ti1V1.6Ni0.4,3.3,33.2,120.0,1.0,84.44614015006997,-3.2363111508119644,1.7249371727318987
AB2,Ti1V1.8Ni0.2,3.6,35.3,90.0,0.08,76.20570216351969,-5.074605619245799,1.8684595435684648
AB2,TmFe2,1.6,56.8,80.0,0.003,112.54003227376724,-9.377749597534384,1.5089270120875813
AB2,UAlNi,0.5,74.6,100.0,0.0003,132.47740632726962,-14.160448422973134,0.537914188335859
AB2,Zr1Cr0.5Fe1.5,1.4,25.6,45.0,3.0,89.59922662342105,0.4494027472411181,0.9437192453609796
AB2,Zr1Mn0.48V0.48Ni1.44,1.6,39.9,30.0,0.3,121.60798955885843,-1.4694530360671134,1.0749236979344583
AB2,Zr0.5Ti0.5Cr1Fe1,1.8,27.0,23.0,4.0,102.69588693415672,1.459852186827605,1.07522669964116
AB2,Ho0.4Zr0.6Co2,1.0,29.3,50.0,2.0,96.43290337692665,-0.2212825325102524,0.7969006132756132
AB2,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16,1.6,29.7,30.0,5.0,111.35242404057747,1.4118248076042024,1.040988705263909
AB2,Zr1Cr2Fe0.8,1.2,46.5,100.0,0.8,122.75951521436946,-3.9934585083440433,0.7606700201921809
AB2,Zr1Cr2Ni0.8,1.4,37.9,100.0,1.0,101.56773415516548,-3.0730093950845307,0.8976953667129283
AB2,Zr1Cr1Fe1.2,1.4,34.0,120.0,7.0,102.6595932796336,-1.3683844029810368,0.9254304182161368
AB2,Zr1Cr1Fe1.6,1.2,29.1,30.0,2.5,103.61026996219287,0.7226698109802127,0.7784287776064093
AB2,Zr1Cr1Fe1.8,1.3,19.0,23.0,6.0,79.05365047636388,1.843522383614964,0.8381289416973708
AB2,Zr1Cr1Fe1Co0.8,1.1,20.0,0.0,10.0,92.36390115152074,3.041025852152952,0.714925641961324
AB2,Zr1Cr1Fe1Cu0.8,1.2,28.0,23.0,3.0,103.68071967178764,1.1748944782909256,0.792409604476779
AB2,Zr1Mn0.8Cr1Fe1,1.4,32.0,23.0,0.6,103.8062658849606,-0.4236459784827751,0.9008262458038264
AB2,Zr1Cr1Fe1Ni0.8,1.1,21.0,0.0,8.0,94.16964231493668,2.8548043387966886,0.7143686071008327
AB2,Zr1Cr1Fe1.4,1.7,21.0,23.0,1.0,70.9100118183353,0.057211642217111,1.1172224442506744
AB2,Zr1Cr0.6Fe1.4,1.5,29.9,20.0,3.0,111.12960265754012,1.3043425391061545,1.0102160381919263
AB2,Zr1Cr1Fe1.5,1.5,23.0,23.0,1.5,81.03444765498786,0.4681254781554763,0.9797800338409476
AB2,Zr1V0.5Fe1.5,1.6,32.2,50.0,0.25,88.11825637472482,-2.3912307693403814,1.0778931152406763
AB2,Zr1Al0.4Fe1.6,1.0,36.0,24.0,10.0,140.29499244596423,2.3514586138495948,0.639224972743306
AB2,ZrCrFe,1.7,49.4,50.0,0.1,133.72612555083708,-3.8443198310714446,1.1384363208943575
AB2,ZrMnFe,1.6,31.0,150.0,10.0,92.40413183425557,-1.391647386204773,1.086199536499333
AB2,ZrFeMo,1.2,29.8,30.0,0.6,94.0540855801756,-0.7091040925852156,0.976033834586466
AB2,ZrVFe,1.6,48.1,50.0,0.0012,92.93095923254762,-8.226596493474071,1.0647099625758163
AB2,Zr1Mn1.11Fe1.22,1.3,29.4,30.0,2.0,102.74462810114562,0.4975301676980253,0.8645839141808622
AB2,Zr1Mn1.22Fe1.11,1.5,13.0,23.0,1.0,43.896673982779,0.0354167308963071,0.9991697866285428
AB2,Zr1Mn1.22Fe1.14,1.2,31.0,40.0,2.0,104.75702815761798,0.0941188017358743,0.7958014416335025
AB2,Zr1Mn1.2Fe0.4,1.5,33.0,50.0,0.4,94.50157179099698,-1.9461945042740365,1.042931367490378
AB2,Zr1Mn1.53Fe1.27,1.0,9.0,23.0,4.0,41.91587680415503,1.410813636355795,0.6492513872275386
AB2,Zr1Mn1.8,1.6,38.8,50.0,0.1,100.92402126490174,-3.513502255694513,1.0952593018914885
AB2,ZrMn2,1.7,37.4,50.0,0.01,77.44760929446385,-5.772394461374624,1.150074255060903
AB2,Zr1Mn2.5,1.4,32.0,50.0,0.07,76.9157097164375,-3.657954604108421,0.9198988719050838
AB2,Zr1Mn2.6Fe0.2,1.4,15.0,100.0,0.12,22.57010350904001,-3.336494167500038,0.9090420751633986
AB2,Zr1Mn2.7,1.3,33.6,100.0,3.0,99.17825539017858,-1.6257443254437691,0.846003781544245
AB2,Zr1Mn2.8,,29.9,23.0,0.3,90.95232883354998,-1.1225143232644297,
AB2,Zr1Mn2.8Fe0.4,1.2,23.0,100.0,0.12,44.00920306685858,-3.985150504193342,0.7671092968226428
AB2,Zr1Mn2Co0.8,,20.9,23.0,4.0,82.09821683454504,1.443233566945492,
AB2,Zr1Mn2Cu0.8,,31.6,23.0,0.06,83.31154041900052,-2.72732081704286,
AB2,Zr1Mn2Fe0.8,,25.0,23.0,0.5,78.65374486653637,-0.6250380826824319,
AB2,Zr1Mn2Fe1.2,0.7,6.8,25.0,3.0,31.941349003168167,1.0986122886681098,0.4464353816663736
AB2,Zr1Mn2Ni0.8,,25.0,23.0,1.6,88.32436564023956,0.538112727123249,
AB2,ZrMn3,1.3,29.2,50.0,0.6,86.11342823606664,-1.422134416313765,0.8363928880506104
AB2,Zr1Mn3.8,1.2,17.0,30.0,0.7,53.11239705432372,-0.4697868221241967,0.7530559446492835
AB2,Zr1Mn1Fe0.7Co0.3,1.2,17.6,30.0,4.0,69.58293919750814,1.269190298998469,0.8150725511695907
AB2,ErFe2,1.5,57.9,80.0,0.001,106.5208187557202,-10.545472225426831,1.4047467971960357
AB2,GdCo2,1.5,48.0,200.0,2.0,107.21067971402388,-6.468737144748082,1.3854463278543228
AB2,GdRh2,0.9,49.0,142.0,6.0,132.92660096227476,-3.7791199731772287,1.0903518571909083
AB2,GdRu2,1.0,60.0,225.0,3.0,129.57968614827402,-8.61918805408434,1.2004636310191863
AB2,Ho0.6Zr0.4Co2,1.0,33.0,50.0,0.2,88.73863592141988,-2.6393416848339823,0.8461405790711346
AB2,Ho0.8Zr0.2Co2,1.2,25.0,50.0,0.2,63.98233079995926,-2.3896680430400714,1.0766316673092988
AB2,LaRh2,1.4,44.3,244.0,2.0,91.42473612095483,-6.874801400285063,1.618569557133198
AB2,LiPd2,0.8,51.0,300.0,0.16,73.74556822996999,-11.704042458020956,0.5861201783580814
AB2,YMgNi4,1.05,35.8,40.0,4.0,125.84808154276269,0.6945132010585429,0.6105504498624444
AB2,PrCo2,1.5,67.0,100.0,0.001,122.1202830741837,-12.340252098788564,1.3031486181613083
AB2,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,1.9,27.4,20.0,9.0,111.73558259633556,2.385753301817904,1.005600858987902
AB2,Zr0.15Ti0.9Mn1.6V0.2Cr0.2,2.1,15.4,25.0,7.0,67.83045947303974,1.9459101490553137,1.1529851750140938
AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2,2.1,25.5,25.0,3.0,94.66145633169408,1.0986122886681098,1.163280551944367
AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4,2.1,26.7,25.0,1.9,94.88871407037534,0.641853886172394,1.1616603443825717
AB2,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2,2.1,30.0,25.0,7.0,116.79909941937548,1.9459101490553128,1.1670748083490678
AB2,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2,2.0,23.2,25.0,3.6,88.46306894424133,1.2809338454620651,1.1185835026651356
AB2,Zr0.2Ti0.9Mn1.6V0.2Ni0.2,2.1,31.7,25.0,2.7,114.5803741472122,0.993251773010284,1.1748942304524037
AB2,Zr0.2Ti0.9Mn1.8V0.2Fe0.2,2.0,29.1,25.0,3.0,106.735915496544,1.0986122886681098,1.1139755241923612
AB2,Zr0.2Ti0.9Mn1.8V0.2,2.1,26.0,25.0,3.0,96.33846454903434,1.0986122886681098,1.1697384386635477
AB2,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05,2.0,15.2,20.0,0.06,28.459444404507384,-2.7088254389453787,1.1501780214069752
AB2,Zr0.1Ti0.9Mn1V0.1Cr0.9,1.7,22.5,30.0,24.0,100.6435276863539,3.0283469327495385,0.9094869208421472
AB2,Ti1.2Mn0.1Cr1.9,1.8,20.1,-10.0,19.4,101.0360432184616,4.0437418723148,0.9190359194291898
AB2,Ti1.2Mn1Cr1,2.0,25.5,-10.0,5.7,111.37341959895838,3.108672869331085,1.0399871499939262
AB2,Ti1Cr1.8,1.9,19.7,-32.0,20.0,106.59888745640713,4.874186756976944,0.9707326172908852
AB2,TiCr2,1.8,29.7,-40.0,2.0,133.14873900060863,4.033414671357247,0.9204926777228204
AB2,TiMnCr,,24.0,0.0,18.0,111.89482145706435,3.776500668886852,
AB2,Ti1Mn0.85V0.15Cr1Fe0.3,1.6,20.9,20.0,6.0,86.1915322163548,1.935564226223208,0.835665810495587
AB2,Ti1Mn1.3Fe0.11,1.7,32.7,24.0,6.0,124.9424047171196,1.8361529173385125,0.892929565715698
AB2,Ti1Mn1.4Ni0.1,,28.0,0.0,2.0,108.27071547785094,1.726964243382416,
AB2,Ti1Mn1.5,1.9,27.9,0.0,1.8,107.02863218546308,1.617911523928795,1.0012488400643982
AB2,TiMn2,1.7,24.6,0.0,20.0,114.96740081388567,3.904014407319448,0.90211927166594
AB2,Zr0.79Ti0.21Mn1Fe1.02,1.5,33.0,30.0,1.5,112.22810286217714,0.1858949916304983,0.9705809419357214
AB2,Zr0.7Ti0.3Cr0.6Fe1.4,1.5,22.0,23.0,7.0,90.4652854267394,2.005846155187524,0.9447141648537586
AB2,Zr0.7Ti0.3Cr1Fe1,1.7,30.0,23.0,0.8,99.44476591788516,-0.1414126338611939,1.0640498258758684
AB2,Zr0.7Ti0.3Mn2Fe0.8,0.8,14.0,25.0,2.6,54.90050416580529,0.9555114450274368,0.4900713435133533
AB2,Zr0.7Ti0.3Mn1Fe1,1.7,10.0,23.0,2.0,39.52960816402248,0.7203908197109502,1.080874558297943
AB2,Zr0.8Ti0.2Cr0.6Fe1.4,1.6,27.0,23.0,3.0,100.30405244234308,1.172170114375824,1.0320324127844454
AB2,Zr0.8Ti0.2Mn1Fe1,1.4,30.0,30.0,1.6,102.86859534450215,0.2703944324478571,0.9077813697318006
AB2,Zr0.9Ti0.1Cr0.55Fe1.45,1.6,1.03,10.0,2.0,9.400583759388148,0.7151591437771643,1.0563804200542006
AB2,Zr1V0.5Co1.5,1.5,34.3,50.0,1.5,109.51375958602588,-0.665010631083228,1.032826436729514
AB2,ZrCrCo,1.6,40.2,50.0,0.7,121.43498104011694,-1.6112849939531335,1.0869859282918226
AB2,ZrVCo,1.8,49.4,50.0,0.0023,102.36294728310553,-7.616580894124432,1.2189572725729805
AB2,Zr1Cr1.2Fe0.8,1.4,50.2,70.0,0.75,143.89987467327455,-2.9433825294522347,0.9310688528284876
AB2,Zr1Cr1.2Ni0.8,2.0,56.4,70.0,0.25,152.8337377610644,-4.369989695279763,1.3536202893855955
AB2,ZrCr2,1.8,42.0,27.0,0.003,91.63189650730249,-5.922041393396471,1.1833006012995833
AB2,Zr1Cr2Co0.8,1.0,45.3,100.0,2.0,127.16183711572477,-2.979869325965892,0.6391261086217226
AB2,ZrMo2,1.0,22.0,-78.0,0.4,105.11560768201012,3.767939261089238,0.9456469456469456
AB2,ZrCrMo,1.3,27.6,25.0,0.2,79.18973089257744,-1.6094379124341007,1.0416771535249243
AB5,CaNi4B,1.2,55.7,27.0,0.01,147.28576257843872,-4.7548949729331405,0.5736749726881306
AB5,CaNi5,1.7,37.7,25.0,0.5,120.68348371787891,-0.6931471805599444,0.953757696986334
AB5,La0.5Ce0.5Cu2.5Ni2.5,1.1,22.9,23.0,2.2,83.88103941306876,0.8508452940200717,0.8185613148402267
AB5,La0.4Ce0.6Ni5,1.5,22.3,25.0,28.0,102.49904461148958,3.332204510175204,1.0905114112480865
AB5,La0.2Ce0.8Cu0.3Ni4.7,1.5,21.0,23.0,18.0,94.94102218259351,2.9475834001132752,1.0947865653452582
AB5,La0.2Ce0.8Ni5,1.5,23.8,23.0,30.0,108.64277588230286,3.4660372428415465,1.091121016638466
AB5,Ce0.2Pr0.8Co5,0.6,39.0,20.0,0.23,120.81857431975452,-1.2013321651397544,0.4345670201766152
AB5,Ce0.4Pr0.6Co5,0.6,38.5,20.0,1.0,131.33208255159477,0.2649034997279143,0.4344089986346651
AB5,Ce0.6Pr0.4Co5,0.6,38.5,20.0,1.26,133.253582146448,0.4960152206913026,0.434250977092715
AB5,La0.7Ce0.7Ni5,1.4,25.0,20.0,11.0,105.21705564884518,2.5699105323619533,1.075785891808232
AB5,Ce0.8Pr0.2Co5,0.6,37.0,20.0,1.42,129.13066515150214,0.6052394557672682,0.4340929555507649
AB5,CeCo5,0.6,39.0,20.0,1.45,136.1269325000889,0.6399073613516694,0.4339349340088148
AB5,Ce1Mn0.75Ni4.25,1.4,24.7,23.0,1.1,84.19610455649183,0.1626019685073058,1.0113028786107354
AB5,Ce1Al0.5Ni4.5,1.4,21.6,23.0,9.0,91.20408665068317,2.256070837902392,0.9806904752178648
AB5,Ce1Mn0.5Ni4.5,1.2,25.4,23.0,7.0,101.94595400685084,2.0151089924988663,0.8669617202059636
AB5,CeNi5,1.5,22.2,23.0,80.0,111.39487867658232,4.442507513589114,1.0917306220288456
AB5,Dy1Ga0.75Ni4.25,0.8,30.1,20.0,6.0,117.57478311180084,1.9988658417426064,0.6190252176139273
AB5,Dy1Al0.5Ni4.5,1.0,27.3,20.0,20.0,118.03338025307202,3.183572936997422,0.73504734731575
AB5,DyAlNi4,0.8,35.4,20.0,0.6,116.5102060317342,-0.2672520162239592,0.5657097235556409
AB5,Er1Al1.5Ni3.5,0.7,39.8,115.0,2.5,110.15586556747688,-2.806536239300719,0.4815633134487709
AB5,Er1Al0.5Ni4.5,0.8,25.4,0.0,25.0,119.7514454824302,4.156695589000013,0.5931980570756529
AB5,ErAlNi4,0.9,32.4,0.0,2.1,124.78473002740616,1.9382113745668057,0.6442118029527653
AB5,EuNi5,1.2,26.0,25.0,1.3,89.38576551239456,0.2623642644674905,0.8945259784075574
AB5,Gd1Al0.5Ni4.5,0.9,32.7,20.0,7.0,127.72559597472969,2.1709061085644787,0.6529916109569459
AB5,GdAlNi4,0.9,41.5,20.0,0.2,128.18462861724373,-1.323892581558554,0.6291821912089761
AB5,Ho1Al0.5Ni4.5,0.9,24.1,0.0,22.0,113.92932873866395,3.980863568144799,0.6645244541648647
AB5,HoAlNi4,0.9,35.9,60.0,4.0,119.28513933633263,-0.1351971580887964,0.6407150344168949
AB5,LaFeCuNi3,1.1,37.2,22.0,0.33,116.82001065830433,-0.9561280595922448,0.7988239968355615
AB5,La1Al0.75Ni4.25,1.13,44.1,40.0,0.054,116.55995156332943,-3.7709374100353297,0.7721262979397014
AB5,La1Co0.5Ni4.25Sn0.25,1.4,42.5,25.0,0.5,136.78276260434544,-0.6931471805599462,1.050579683861092
AB5,La1Ni4.4B0.6,0.62,33.5,25.0,0.3,102.34952923495604,-1.2039728043259357,0.4163689853946319
AB5,La1Zn0.6Ni4.4,1.4,34.8,20.0,0.3,108.70053640810626,-0.9645275630134316,1.0245328816392456
AB5,La1Al0.5Ni4.5,1.4,44.4,25.0,0.3,138.9083083729738,-1.203972804325937,0.9778485352809706
AB5,La1Mn0.3Al0.3Ni4.5,1.3,39.3,35.0,0.2,114.15416854965412,-2.123928269027658,0.9159572401867
AB5,La1Si0.5Ni4.5,1.0,36.5,25.0,0.5,116.65866399626226,-0.6931471805599444,0.6965630511463845
AB5,La1Mn0.2Al0.15Ni4.65,1.5,38.8,20.0,0.6,128.10836397135552,-0.2438579409233152,1.0748142267695997
AB5,La1Al0.4Ni4.6,1.38,36.4,48.0,0.64,109.63217283167,-1.4979296632048154,0.9710208903825168
AB5,La1Mn0.1Cu0.3Ni4.6,1.4,32.0,35.0,1.0,103.8455297744605,-0.4189234455723626,1.0176092951787998
AB5,La1Ga0.4Ni4.6,,35.0,20.0,0.3,109.38278099278986,-0.963151440936924,
AB5,La1Ni4.6Ge0.4,1.2,34.3,30.0,0.78,111.07956035693276,-0.4766812076374082,0.8795046711329607
AB5,La1In0.4Ni4.6,1.2,39.8,20.0,0.05,110.85967790827884,-2.721883980328771,0.9133858484351906
AB5,La1Mn0.4Ni4.6,1.49,39.4,25.0,0.15,116.37529032999409,-1.8971199848858813,1.0775582446978498
AB5,La1Si0.4Ni4.6,1.0,35.6,30.0,0.67,114.103979557958,-0.6373471467972733,0.7016750006680562
AB5,La1Ni4.6Sn0.4,1.26,38.5,20.0,0.08,110.33277301196148,-2.2608251445803407,0.9629226377354668
AB5,La1Al0.25Ni4.75,1.2,33.7,35.0,1.2,110.8781739560412,-0.2588571968244381,0.8523803592514941
AB5,La1Al0.3Ni4.7,1.44,34.0,25.0,0.42,106.82402112665068,-0.8675005677047233,1.0215167738771642
AB5,La1Mn0.3Ni4.7,1.4,36.2,20.0,0.9,122.61028574823212,0.1437175801902413,1.0124283099973703
AB5,La1Si0.3Ni4.7,1.1,33.8,25.0,1.0,113.36575549220191,0.0,0.7782517580956659
AB5,La1In0.15Ni4.85,,31.8,30.0,0.78,102.83281782023477,-0.4600471079042507,
AB5,La1Ni4.8Sn0.2,1.4,32.8,25.0,0.47,103.73436124324292,-0.7550225842780328,1.0432532069341145
AB5,La1In0.07Ni4.93,,35.2,30.0,1.37,118.73152146264556,0.0806026155971894,
AB5,La1Ni4.95Sn0.05,1.3,32.0,100.0,14.0,107.69794047981097,0.0444319828420398,0.948148164900318
AB5,La1Al0.1Ni4.9,1.4,33.0,35.0,1.5,110.46180395767584,-0.0265496951383352,1.0076282864266397
AB5,La1Mn0.1Ni4.9,1.4,29.0,35.0,1.5,97.4811127358683,0.0258157355582112,1.0141915861411614
AB5,La1Ni4.9Sn0.1,1.3,32.0,35.0,2.1,110.01411482657836,0.3230138991570149,0.9546833186584328
AB5,La1Al0.5Cu0.5Ni4,1.4,40.0,22.0,0.09,115.50426701936418,-2.243929947437502,0.9835447170103672
AB5,LaCrNi4,0.54,34.0,25.0,0.04,87.27431336992765,-3.218875824868201,0.3821306214271351
AB5,LaCuNi4,1.0,33.9,60.0,4.0,113.28183752033384,-0.0504343993585076,0.7302273228314895
AB5,LaFeNi4,0.8,34.5,40.0,0.11,91.81921005817172,-2.873935528332639,0.5727354150665642
AB5,La1Fe0.5Cu0.5Ni4,1.3,36.1,22.0,0.48,116.20835305720983,-0.5859450408342316,0.9437953665508758
AB5,La0.8Ce0.2Co0.5Ni4.25Sn0.25,1.2,38.2,25.0,0.8,126.26817683934529,-0.2231435513142098,0.8991602072087271
AB5,La0.8Ce0.2Ni4.8Sn0.25,1.2,32.4,25.0,1.1,109.46255647286092,0.0953101798043243,0.8973351130528165
AB5,La0.13Ce0.35Pr0.52Co5,0.8,40.0,50.0,3.6,134.43141326695616,0.0325656364925106,0.5800854776039
AB5,La0.1Ce0.9Co5,0.6,41.0,20.0,0.84,138.41053807722963,0.1077516385394955,0.4338141168439207
AB5,La0.2Ce0.8Co5,0.6,44.0,20.0,0.72,147.36257358544185,-0.0257572101401325,0.4336932996790266
